Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
High income,HIC,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25006962,12.41154528,11.93535995,11.84667015,,11.27880955,11.76006031,12.07833481,12.24792004,12.74120522,12.80907536,12.94361019,12.69606495,12.90932512,12.76187992,12.77273512,12.69193983,12.20807505,12.64210987,12.63183975,12.75940037,12.53329992,,,
High income,HIC,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRD only,IBD,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97E+13,,,,,,,
IBRD only,IBD,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.11163473,15.25037003,13.91590977,14.47355509,14.3998704,13.79283047,13.73865032,13.67367506,13.85160494,14.53442001,15.14691019,15.96380997,14.92588997,15.2799902,15.24314976,,,,
IBRD only,IBD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11E+13,2.21E+13,2.29E+13,2.38E+13,2.45E+13,,,
IDA & IBRD total,IBT,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19596958,15.66205978,15.26861,15.9108696,14.56826973,14.67282009,15.75177002,15.88041973,15.59088039,16.08116913,16.10293961,15.09788036,15.5529604,15.97432041,,,,
IDA & IBRD total,IBT,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,2.35E+11,2.41E+11,2.43E+11,2.44E+11,2.60E+11,2.48E+11,2.40E+11,2.60E+11,2.63E+11,2.81E+11,2.84E+11,2.88E+11,2.85E+11,2.94E+11,3.06E+11,3.20E+11,3.29E+11,3.37E+11,3.48E+11,3.41E+11,3.64E+11,3.78E+11,4.09E+11,4.80E+11,5.02E+11,5.63E+11,5.86E+11,6.11E+11,6.40E+11,6.92E+11,7.28E+11,7.65E+11,8.08E+11,8.64E+11,9.04E+11,,
IDA blend,IDB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.92393017,,,,16.51276541,,,,,,16.73251438,13.50931025,17.55006027,,,,,
IDA blend,IDB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA only,IDX,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+11,6.26E+11,6.65E+11,6.98E+11,7.31E+11,7.65E+11,8.05E+11,8.25E+11,8.91E+11,9.37E+11,9.84E+11,
